#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 09 00 310  3.6  4.6    MM    MM    MM  MM 1019.9  10.1    MM    MM   MM -1.2    MM
2022 01 28 08 54 310  4.1  4.6    MM    MM    MM  MM 1020.0  10.1    MM    MM   MM   MM    MM
2022 01 28 08 48 310  3.6  4.1    MM    MM    MM  MM 1020.1  10.1    MM    MM   MM   MM    MM
2022 01 28 08 42 310  4.1  4.6    MM    MM    MM  MM 1020.1  10.0    MM    MM   MM   MM    MM
2022 01 28 08 36 320  3.6  4.1    MM    MM    MM  MM 1020.2  10.2    MM    MM   MM   MM    MM
2022 01 28 08 30 320  3.1  4.1    MM    MM    MM  MM 1020.1  10.3    MM    MM   MM   MM    MM
2022 01 28 08 24 310  4.1  4.6    MM    MM    MM  MM 1020.1  10.2    MM    MM   MM   MM    MM
2022 01 28 08 18 310  4.6  5.7    MM    MM    MM  MM 1020.2  10.2    MM    MM   MM   MM    MM
2022 01 28 08 12 310  4.6  5.1    MM    MM    MM  MM 1020.5  10.1    MM    MM   MM   MM    MM
2022 01 28 08 06 310  4.6  5.7    MM    MM    MM  MM 1020.5  10.1    MM    MM   MM   MM    MM
2022 01 28 08 00 310  5.1  6.2    MM    MM    MM  MM 1020.6  10.1    MM    MM   MM -1.2    MM
2022 01 28 07 54 300  4.1  5.7    MM    MM    MM  MM 1020.6  10.0    MM    MM   MM   MM    MM
2022 01 28 07 48 300  4.6  5.7    MM    MM    MM  MM 1020.6   9.9    MM    MM   MM   MM    MM
2022 01 28 07 42 310  5.1  5.7    MM    MM    MM  MM 1020.6   9.8    MM    MM   MM   MM    MM
2022 01 28 07 36 300  5.1  5.7    MM    MM    MM  MM 1020.7   9.8    MM    MM   MM   MM    MM
2022 01 28 07 30 300  4.6  5.1    MM    MM    MM  MM 1020.8   9.7    MM    MM   MM   MM    MM
2022 01 28 07 24 310  3.6  4.1    MM    MM    MM  MM 1020.8   9.8    MM    MM   MM   MM    MM
2022 01 28 07 18 320  3.1  3.6    MM    MM    MM  MM 1020.7   9.9    MM    MM   MM   MM    MM
2022 01 28 07 12 330  3.1  3.6    MM    MM    MM  MM 1020.7   9.8    MM    MM   MM   MM    MM
2022 01 28 07 06 330  3.1  3.6    MM    MM    MM  MM 1020.7   9.8    MM    MM   MM   MM    MM
2022 01 28 07 00 320  3.6  5.1    MM    MM    MM  MM 1020.7   9.9    MM    MM   MM -1.2    MM
2022 01 28 06 54 320  4.6  5.1    MM    MM    MM  MM 1020.8   9.9    MM    MM   MM   MM    MM
2022 01 28 06 48 320  5.1  5.7    MM    MM    MM  MM 1020.9  10.0    MM    MM   MM   MM    MM
2022 01 28 06 42 320  5.1  5.7    MM    MM    MM  MM 1021.1  10.1    MM    MM   MM   MM    MM
2022 01 28 06 36 330  4.6  5.1    MM    MM    MM  MM 1021.1  10.2    MM    MM   MM   MM    MM
2022 01 28 06 30 330  4.6  5.1    MM    MM    MM  MM 1021.1  10.3    MM    MM   MM   MM    MM
2022 01 28 06 24 340  4.1  4.6    MM    MM    MM  MM 1021.0  10.4    MM    MM   MM   MM    MM
2022 01 28 06 18 350  3.6  4.1    MM    MM    MM  MM 1020.9  10.3    MM    MM   MM   MM    MM
2022 01 28 06 12 350  3.6  4.1    MM    MM    MM  MM 1021.0  10.3    MM    MM   MM   MM    MM
2022 01 28 06 06 340  3.6  4.1    MM    MM    MM  MM 1021.1  10.4    MM    MM   MM   MM    MM
2022 01 28 06 00 340  3.6  3.6    MM    MM    MM  MM 1021.1  10.4    MM    MM   MM -0.9    MM
2022 01 28 05 54 340  3.6  3.6    MM    MM    MM  MM 1021.2  10.5    MM    MM   MM   MM    MM
2022 01 28 05 48 340  3.6  3.6    MM    MM    MM  MM 1021.2  10.5    MM    MM   MM   MM    MM
2022 01 28 05 42 340  4.1  4.1    MM    MM    MM  MM 1021.3  10.5    MM    MM   MM   MM    MM
2022 01 28 05 36 330  4.1  4.1    MM    MM    MM  MM 1021.4  10.5    MM    MM   MM   MM    MM
2022 01 28 05 30 330  4.1  4.1    MM    MM    MM  MM 1021.4  10.5    MM    MM   MM   MM    MM
2022 01 28 05 24 330  3.6  3.6    MM    MM    MM  MM 1021.5  10.5    MM    MM   MM   MM    MM
2022 01 28 05 18 340  3.6  4.1    MM    MM    MM  MM 1021.5  10.5    MM    MM   MM   MM    MM
2022 01 28 05 12 340  4.1  4.6    MM    MM    MM  MM 1021.6  10.5    MM    MM   MM   MM    MM
2022 01 28 05 06 330  4.1  4.6    MM    MM    MM  MM 1021.8  10.5    MM    MM   MM   MM    MM
2022 01 28 05 00 330  4.1  4.1    MM    MM    MM  MM 1021.8  10.5    MM    MM   MM +0.0    MM
2022 01 28 04 54 340  3.6  3.6    MM    MM    MM  MM 1021.7  10.5    MM    MM   MM   MM    MM
2022 01 28 04 48 350  3.6  3.6    MM    MM    MM  MM 1021.8  10.5    MM    MM   MM   MM    MM
2022 01 28 04 42 350  3.6  3.6    MM    MM    MM  MM 1021.7  10.4    MM    MM   MM   MM    MM
2022 01 28 04 36 330  4.1  4.1    MM    MM    MM  MM 1022.0  10.5    MM    MM   MM   MM    MM
2022 01 28 04 30 340  4.1  4.1    MM    MM    MM  MM 1021.9  10.6    MM    MM   MM   MM    MM
2022 01 28 04 24 340  3.6  4.1    MM    MM    MM  MM 1021.9  10.7    MM    MM   MM   MM    MM
2022 01 28 04 18 330  3.6  3.6    MM    MM    MM  MM 1021.9  10.9    MM    MM   MM   MM    MM
2022 01 28 04 12 330  2.6  3.1    MM    MM    MM  MM 1022.0  11.1    MM    MM   MM   MM    MM
2022 01 28 04 06 330  2.6  2.6    MM    MM    MM  MM 1021.9  11.0    MM    MM   MM   MM    MM
2022 01 28 04 00 320  2.6  2.6    MM    MM    MM  MM 1021.9  10.7    MM    MM   MM +0.0    MM
