#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 19 21 35  10  6.2 12.4    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 21 15  20 11.3   MM    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 20 55  20  9.8   MM    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 20 35  10  4.1 12.9    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 20 15  10  5.7 11.8    MM    MM    MM  MM     MM    18    MM    16  7.8   MM    MM
2021 12 19 19 55  MM  2.6  8.2    MM    MM    MM  MM     MM    20    MM    16  8.7   MM    MM
2021 12 19 19 35  MM  2.1   MM    MM    MM    MM  MM     MM    20    MM    17  8.7   MM    MM
2021 12 19 19 15  MM  2.6  7.7    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 18 55  MM  2.6  5.1    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 18 35  MM  2.1  5.1    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 18 15  MM  2.6  9.8    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 17 55  MM  2.6  8.2    MM    MM    MM  MM     MM    21    MM    16  8.7   MM    MM
2021 12 19 17 35 350  5.1 10.3    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 17 15  MM  2.6 12.4    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 16 55  MM  2.1  9.3    MM    MM    MM  MM     MM    21    MM    17  8.7   MM    MM
2021 12 19 16 35  MM  2.1  7.2    MM    MM    MM  MM     MM    21    MM    18  8.7   MM    MM
2021 12 19 16 15  MM  3.1  8.8    MM    MM    MM  MM     MM    21    MM    18  8.7   MM    MM
2021 12 19 15 55  MM  2.6   MM    MM    MM    MM  MM     MM    22    MM    18  8.7   MM    MM
2021 12 19 15 35  MM  2.6   MM    MM    MM    MM  MM     MM    22    MM    18  8.7   MM    MM
2021 12 19 15 15  MM    0   MM    MM    MM    MM  MM     MM    22    MM    18  8.7   MM    MM
2021 12 19 14 55  MM  2.1   MM    MM    MM    MM  MM     MM    22    MM    19  8.7   MM    MM
2021 12 19 14 35  MM    0   MM    MM    MM    MM  MM     MM    22    MM    19  8.7   MM    MM
